Date,Open,High,Low,Close,Adj Close,Volume
2016-06-14,63.0,64.5,62.70000076293945,62.70000076293945,62.70000076293945,1433
2016-06-15,63.0,64.19999694824219,63.0,63.900001525878906,63.900001525878906,330
2016-06-16,63.900001525878906,73.5,63.900001525878906,67.5,67.5,1673
2016-06-17,69.5999984741211,72.0,67.5,71.4000015258789,71.4000015258789,2190
2016-06-20,70.80000305175781,71.69999694824219,70.5,71.69999694824219,71.69999694824219,517
2016-06-21,70.80000305175781,72.0,65.0999984741211,72.0,72.0,1417
2016-06-22,71.4000015258789,71.4000015258789,64.80000305175781,65.0999984741211,65.0999984741211,1287
2016-06-23,69.9000015258789,69.9000015258789,65.4000015258789,68.4000015258789,68.4000015258789,297
2016-06-24,65.4000015258789,69.30000305175781,63.599998474121094,68.0999984741211,68.0999984741211,323
2016-06-27,68.0999984741211,68.0999984741211,59.70000076293945,63.29999923706055,63.29999923706055,343
2016-06-28,61.5,65.0999984741211,59.400001525878906,61.5,61.5,490
2016-06-29,61.5,64.80000305175781,61.5,64.80000305175781,64.80000305175781,167
2016-06-30,64.80000305175781,65.4000015258789,64.80000305175781,65.0999984741211,65.0999984741211,123
2016-07-01,65.0999984741211,65.4000015258789,62.66999816894531,65.0999984741211,65.0999984741211,73
2016-07-05,63.599998474121094,63.599998474121094,63.0,63.0,63.0,500
2016-07-06,62.849998474121094,64.80000305175781,60.0,60.0,60.0,253
2016-07-07,62.70000076293945,66.5999984741211,62.70000076293945,63.599998474121094,63.599998474121094,217
2016-07-08,65.69999694824219,65.69999694824219,62.099998474121094,65.69999694824219,65.69999694824219,57
2016-07-11,64.5,66.0,64.5,65.0999984741211,65.0999984741211,1317
2016-07-12,64.5,66.5999984741211,64.5,64.5,64.5,257
2016-07-13,66.0,66.0,64.5,66.0,66.0,133
2016-07-14,66.0,66.5999984741211,61.5,66.0,66.0,213
2016-07-15,64.5,64.5,61.5,64.19999694824219,64.19999694824219,47
2016-07-18,63.0,63.0,61.5,62.099998474121094,62.099998474121094,717
2016-07-19,61.5,62.400001525878906,60.0,60.0,60.0,553
2016-07-20,61.5,61.5,60.29999923706055,61.5,61.5,173
2016-07-21,60.0,60.0,55.5,55.5,55.5,283
2016-07-22,57.599998474121094,58.5,57.599998474121094,58.5,58.5,180
2016-07-25,59.70000076293945,60.0,59.70000076293945,59.7599983215332,59.7599983215332,97
2016-07-26,59.400001525878906,61.5,59.400001525878906,61.5,61.5,280
2016-07-27,61.5,63.0,59.400001525878906,60.599998474121094,60.599998474121094,250
2016-07-28,60.599998474121094,60.599998474121094,60.599998474121094,60.599998474121094,60.599998474121094,3
2016-07-29,61.5,61.5,58.79999923706055,58.79999923706055,58.79999923706055,307
2016-08-01,60.0,60.0,58.79999923706055,58.79999923706055,58.79999923706055,53
2016-08-02,60.0,60.0,60.0,60.0,60.0,7
2016-08-03,58.79999923706055,58.79999923706055,58.5,58.5,58.5,20
2016-08-04,60.0,60.0,58.5,58.5,58.5,37
2016-08-05,59.099998474121094,59.70000076293945,57.900001525878906,58.5,58.5,663
2016-08-08,59.099998474121094,60.0,59.099998474121094,59.099998474121094,59.099998474121094,147
2016-08-09,59.099998474121094,61.5,59.099998474121094,61.5,61.5,150
2016-08-10,59.099998474121094,61.5,59.099998474121094,61.5,61.5,183
2016-08-11,60.0,60.599998474121094,60.0,60.599998474121094,60.599998474121094,267
2016-08-12,59.099998474121094,61.5,59.099998474121094,60.29999923706055,60.29999923706055,530
2016-08-15,61.5,61.5,60.0,60.0,60.0,433
2016-08-16,61.5,62.70000076293945,59.400001525878906,59.70000076293945,59.70000076293945,2253
